"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"NR_TURNO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_GENERO";"DS_GENERO";"CD_ESTADO_CIVIL";"DS_ESTADO_CIVIL";"CD_FAIXA_ETARIA";"DS_FAIXA_ETARIA";"CD_GRAU_ESCOLARIDADE";"DS_GRAU_ESCOLARIDADE";"TP_CONVOCACAO";"TP_COMPARECIMENTO";"QT_MESARIOS_PERFIL"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19518";"BOQUEIRÃO";"62";"4";"FEMININO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"4";"ENSINO FUNDAMENTAL COMPLETO";"Não voluntárias e não voluntários";"#NULO";"1"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19518";"BOQUEIRÃO";"62";"2";"MASCULINO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"#NULO";"2"
"16/09/2024";"05:27:16";"2024";"1";"PB";"21636";"SALGADO DE SÃO FÉLIX";"6";"2";"MASCULINO";"1";"SOLTEIRO";"1800";"18 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"#NULO";"3"
"16/09/2024";"05:27:16";"2024";"1";"PB";"20435";"ITAPOROROCA";"60";"4";"FEMININO";"3";"CASADO";"4549";"45 a 49 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"#NULO";"2"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19755";"CAJAZEIRAS";"68";"4";"FEMININO";"5";"VIÚVO";"3539";"35 a 39 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"#NULO";"1"
"16/09/2024";"05:27:16";"2024";"1";"PB";"20516";"JOÃO PESSOA";"77";"4";"FEMININO";"1";"SOLTEIRO";"4044";"40 a 44 anos";"8";"SUPERIOR COMPLETO";"Voluntárias e voluntários";"#NULO";"11"
"16/09/2024";"05:27:16";"2024";"1";"PB";"20397";"ITABAIANA";"6";"2";"MASCULINO";"1";"SOLTEIRO";"2529";"25 a 29 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"#NULO";"11"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19895";"CONCEIÇÃO";"41";"4";"FEMININO";"1";"SOLTEIRO";"5054";"50 a 54 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"#NULO";"4"
"16/09/2024";"05:27:16";"2024";"1";"PB";"20516";"JOÃO PESSOA";"77";"2";"MASCULINO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"#NULO";"14"
"16/09/2024";"05:27:16";"2024";"1";"PB";"20516";"JOÃO PESSOA";"77";"4";"FEMININO";"1";"SOLTEIRO";"4549";"45 a 49 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"#NULO";"7"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19216";"AREIA";"11";"4";"FEMININO";"3";"CASADO";"2529";"25 a 29 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"#NULO";"2"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19194";"ARARUNA";"20";"4";"FEMININO";"9";"DIVORCIADO";"4044";"40 a 44 anos";"8";"SUPERIOR COMPLETO";"Não voluntárias e não voluntários";"#NULO";"2"
"16/09/2024";"05:27:16";"2024";"1";"PB";"19518";"BOQUEIRÃO";"62";"4";"FEMININO";"1";"SOLTEIRO";"2124";"21 a 24 anos";"6";"ENSINO MÉDIO COMPLETO";"Não voluntárias e não voluntários";"#NULO";"1"
"16/09/2024";"05:27:16";"2024";"1";"PB";"21296";"PICUÍ";"25";"2";"MASCULINO";"1";"SOLTEIRO";"3539";"35 a 39 anos";"7";"SUPERIOR INCOMPLETO";"Não voluntárias e não voluntários";"#NULO";"1"
"16/09/2024";"05:27:16";"2024";"1";"PB";"21750";"SANTA RITA";"2";"2";"MASCULINO";"1";"SOLTEIRO";"3034";"30 a 34 anos";"3";"ENSINO FUNDAMENTAL INCOMPLETO";"Não voluntárias e não voluntários";"#NULO";"1"
